  84,South Dakota State,=  78.38 ,24,7,71.23( 164),,0,0,|,0   1  |   78.05,87 |   78.56,87 |   79.18
  85,Marquette,=  78.38 ,20,13,76.63(  75),,0,6,|,5  10  |   77.72,95 |   78.62,86 |   80.18
  86,Rhode Island,=  78.30 ,17,15,74.47(  96),,0,1,|,1   6  |   78.97,81 |   78.32,91 |   76.58  1
  87,St. Bonaventure,=  78.29 ,22,9,73.25( 119),,0,0,|,3   3  |   77.66,96 |   78.65,85 |   79.86
  88,NC Wilmington,=  78.23 ,23,7,71.83( 149),,0,0,|,0   0  |   77.45,99 |   77.88,95 |   81.13
  89,Stanford,=  78.17 ,14,15,80.98(   8),,2,6,|,4   9  |   77.98,89 |   78.71,82 |   78.18
  90,Alabama,=  78.15 ,18,15,79.86(  20),,2,5,|,5   9  |   77.73,94 |   78.67,84 |   78.87
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  91,Oklahoma State,=  78.10 ,12,20,79.74(  22),,1,9,|,1  14  |   78.71,82 |   78.38,88 |   76.29  1
  92,Boise State,=  78.00 ,18,12,74.18( 102),,1,3,|,2   4  |   78.57,84 |   78.70,83 |   75.97  1
  93,UC Irvine,=  77.86 ,24,9,72.32( 139),,0,2,|,0   3  |   77.54,98 |   78.13,92 |   78.55
  94,Oakland-Mich.,=  77.84 ,21,11,70.79( 181),,0,2,|,0   2  |   78.01,88 |   77.49,98 |   77.71
  95,Stony Brook-NY,=  77.83 ,24,6,67.70( 280),,0,0,|,0   2  |   77.85,91 |   78.06,93 |   77.60
  96,Akron,=  77.73 ,25,9,71.21( 165),,0,1,|,0   1  |   77.84,92 |   78.36,89 |   76.90  1
  97,Tennessee,=  77.56 ,15,19,78.47(  49),,1,3,|,4   7  |   78.29,86 |   77.46,99 |   75.81  1
  98,Iona,=  77.52 ,22,10,70.39( 197),,0,0,|,0   0  |   76.68  1,04 |   77.12  1,02 |   80.70
  99,Hofstra,=  77.50 ,23,10,73.03( 126),,0,0,|,1   1  |   76.70  1,03 |   77.61,97 |   79.90
 100;,Fresno State,=  77.42 ,23,9,73.00( 127),,0,2,|,2   3  |   76.58,106 |   77.27,100 |   80.22
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
 101;,Richmond,=  77.18 ,16,16,75.64(  80),,0,1,|,1   8  |   77.87,90 |   77.26,101 |   75.33
 102;,Davidson,=  77.14 ,19,13,75.54(  82),,0,1,|,1   8  |   76.60,105 |   77.66,96 |   78.21
 103;,William & Mary,=  77.07 ,18,11,73.07( 124),,0,1,|,0   2  |   77.09,101 |   76.87,105 |   77.18
 104;,James Madison,=  76.98 ,20,11,71.66( 155),,0,1,|,0   1  |   77.33,100 |   76.79,106 |   76.22
 105;,Texas-Arlington,=  76.73 ,23,10,69.41( 223),,0,0,|,0   1  |   77.75,93 |   76.26,111 |   74.58
 106;,Long Beach State,=  76.73 ,18,15,76.58(  76),,0,4,|,2   5  |   76.27,110 |   76.88,103 |   77.92
 107;,UC Santa Barbara,=  76.71 ,17,13,74.21( 100),,0,0,|,0   2  |   76.84,102 |   76.30,110 |   76.73
 108;,Chattanooga,=  76.36 ,27,5,68.48( 252),,0,1,|,1   1  |   76.13,111 |   76.65,107 |   76.75
 109;,Old Dominion,=  76.30 ,22,13,69.55( 218),,0,1,|,0   3  |   76.42,108 |   75.75,114 |   76.46
 110;,New Mexico State,=  76.19 ,21,11,68.60( 249),,0,2,|,0   3  |   76.01,112 |   75.73,115 |   77.13
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
 111;,UAB,=  76.16 ,25,7,69.25( 230),,0,0,|,0   1  |   75.75,114 |   76.87,104 |   76.69
 112;,UNLV,=  76.01 ,16,15,74.30(  98),,2,2,|,2   4  |   76.52,107 |   76.51,108 |   74.27
 113;,Illinois,=  75.99 ,15,19,78.12(  58),,2,7,|,2  12  |   75.56,116 |   76.50,109 |   76.74
 114;,Columbia,=  75.73 ,20,10,69.26( 229),,0,0,|,0   1  |   75.57,115 |   75.85,113 |   76.05
 115;,CS Bakersfield,=  75.50 ,21,8,66.76( 302),,0,0,|,0   1  |   75.15,119 |   74.86,121 |   77.15
 116;,New Mexico,=  75.41 ,17,15,73.59( 112),,0,1,|,0   5  |   76.40,109 |   75.93,112 |   72.41
 117;,Middle Tennessee,=  75.18 ,22,9,70.74( 183),,0,0,|,0   1  |   74.62,126 |   75.27,118 |   76.74
 118;,Penn State,=  75.15 ,16,16,77.86(  62),,2,5,|,2   8  |   74.42,127 |   75.50,117 |   76.99
 119;,Wake Forest,=  75.12 ,11,20,81.03(   7),,1,7,|,1  13  |   75.91,113 |   75.65,116 |   72.59
 120;,Illinois State,=  75.12 ,17,14,73.44( 116),,1,3,|,1   5  |   74.90,121 |   75.11,119 |   75.72
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
 121;,Louisiana-Lafayette,=  74.99 ,16,14,70.56( 186),,0,1,|,0   1  |   75.33,118 |   74.46,128 |   74.56
 122;,Green Bay,=  74.89 ,21,12,71.46( 158),,0,0,|,0   1  |   74.23,130 |   74.57,126 |   77.15
 123;,TCU,=  74.77 ,12,21,80.56(  12),,0,12,|,2  15  |   74.63,125 |   74.81,123 |   75.12
 124;,Albany-NY,=  74.68 ,23,9,66.07( 318),,0,1,|,0   1  |   74.74,123 |   74.81,122 |   74.37
 125;,Milwaukee,=  74.66 ,18,13,70.41( 195),,0,0,|,1   1  |   75.37,117 |   74.66,125 |   72.78
 126;,Pepperdine,=  74.41 ,17,14,73.19( 120),,0,2,|,3   4  |   74.71,124 |   74.97,120 |   73.11
 127;,Utah State,=  74.28 ,14,15,73.61( 111),,0,1,|,0   5  |   74.33,128 |   74.23,132 |   74.22
 128;,Ohio,=  74.26 ,21,11,70.89( 176),,0,0,|,0   1  |   73.93,133 |   74.27,130 |   75.20
 129;,Siena,=  74.26 ,21,13,69.79( 211),,0,1,|,0   2  |   74.83,122 |   74.27,131 |   72.73
 130;,Grand Canyon,=  74.20 ,24,6,65.69( 326),,0,1,|,1   2  |   73.57,136 |   74.67,124 |   75.57
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
 131;,Belmont,=  74.01 ,19,12,70.53( 189),,0,0,|,0   1  |   74.24,129 |   74.53,127 |   72.92
 132;,Toledo,=  73.99 ,16,15,70.60( 185),,0,0,|,0   0  |   75.09,120 |   73.62,138 |   71.39
 133;,Weber State,=  73.96 ,23,8,67.32( 288),,0,0,|,0   1  |   73.34,140 |   74.06,133 |   75.64
 134;,Buffalo,=  73.94 ,19,14,72.40( 137),,0,2,|,0   4  |   73.23,141 |   73.85,136 |   76.09
 135;,Southern Illinois,=  73.87 ,22,10,70.25( 201),,0,2,|,0   2  |   74.13,131 |   74.37,129 |   72.71
 136;,Northeastern,=  73.78 ,17,15,73.49( 115),,1,1,|,1   1  |   73.69,135 |   73.50,141 |   74.29
 137;,Nevada,=  73.75 ,18,13,73.53( 113),,0,1,|,0   3  |   73.76,134 |   73.98,134 |   73.53
 138;,Morehead State,=  73.72 ,18,12,70.27( 198),,0,1,|,0   2  |   73.55,137 |   73.68,137 |   74.23
 139;,College of Charleston,=  73.68 ,16,14,71.91( 146),,0,1,|,0   1  |   73.99,132 |   73.60,139 |   72.91
 140;,NC Asheville,=  73.64 ,20,11,68.03( 266),,0,1,|,0   1  |   73.47,139 |   73.20,142 |   74.49
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
 141;,Fort Wayne(IPFW),=  73.57 ,22,10,71.06( 171),,0,2,|,0   3  |   72.91,143 |   73.96,135 |   75.08
 142;,Louisiana-Monroe,=  73.41 ,18,14,71.46( 159),,0,1,|,0   1  |   72.90,144 |   72.87,144 |   75.36
 143;,Colorado State,=  73.26 ,16,16,72.82( 130),,0,0,|,0   2  |   73.48,138 |   73.09,143 |   72.82
 144;,Wright State,=  73.16 ,20,13,70.40( 196),,0,2,|,0   2  |   72.80,147 |   72.65,146 |   74.64
 145;,Louisiana Tech,=  72.90 ,21,9,67.96( 270),,0,0,|,0   0  |   72.78,148 |   73.59,140 |   72.60
 146;,Marshall,=  72.67 ,17,16,71.85( 147),,0,2,|,0   2  |   72.84,145 |   72.43,151 |   72.43
 147;,Vermont,=  72.64 ,21,13,68.60( 248),,0,1,|,0   2  |   72.07,157 |   72.26,153 |   74.61
 148;,Eastern Michigan,=  72.62 ,14,15,73.04( 125),,0,2,|,0   2  |   72.31,153 |   72.45,149 |   73.63
 149;,North Dakota State,=  72.49 ,18,13,70.10( 202),,0,1,|,0   1  |   72.40,152 |   72.55,148 |   72.66
 150;,Towson,=  72.47 ,18,12,70.48( 190),,0,0,|,0   0  |   72.08,156 |   72.58,147 |   73.44
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
 151;,Missouri,=  72.45 ,10,21,78.04(  59),,0,5,|,1   8  |   73.12,142 |   72.41,152 |   70.64
 152;,Duquesne,=  72.36 ,16,16,72.81( 131),,0,0,|,1   4  |   72.82,146 |   72.69,145 |   70.78
 153;,Montana,=  72.28 ,18,12,68.22( 260),,0,2,|,0   2  |   72.47,151 |   72.22,155 |   71.82
 154;,Fordham,=  72.27 ,16,14,71.12( 169),,0,0,|,0   4  |   72.53,149 |   72.06,157 |   71.73
 155;,Massachusetts,=  72.20 ,14,18,74.69(  90),,0,0,|,1   6  |   71.79,161 |   72.44,150 |   73.12
 156;,East Tennessee State(,ETS=  72.19 ,21,11,69.98( 207),,0,1,|,0   1  |   71.45,166 |   72.22,154 |   74.23
 157;,Ball State,=  72.00 ,19,13,69.33( 226),,0,0,|,0   0  |   72.02,159 |   71.83,163 |   72.11
 158;,High Point,=  71.93 ,18,11,68.01( 268),,0,0,|,0   2  |   72.19,154 |   72.06,158 |   71.06
 159;,Omaha(Neb.-Omaha),=  71.92 ,16,14,70.98( 173),,0,0,|,0   0  |   72.52,150 |   71.97,160 |   70.20
 160;,Winthrop,=  71.73 ,20,9,66.91( 298),,0,0,|,0   0  |   71.26,168 |   71.64,167 |   73.13
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
 161;,Central Michigan,=  71.64 ,14,16,71.17( 167),,0,0,|,0   1  |   71.85,160 |   71.64,166 |   71.04
 162;,Indiana State,=  71.62 ,14,17,73.52( 114),,0,2,|,0   3  |   71.56,165 |   72.16,156 |   71.29
 163;,Harvard,=  71.62 ,12,16,72.05( 143),,0,2,|,1   3  |   72.10,155 |   71.13,172 |   70.73
