 115;,Akron,=  76.32 ,20,14,72.64( 146),0,0,|,,0   1  | ,76.34,109 |   76.20,115 |   76.08
 116;,Massachusetts,=  76.29 ,17,15,76.53(  78),0,1,|,,1   6  | ,76.09,114 |   75.41,123 |   77.24
 117;,UC Santa Barbara,=  76.25 ,17,14,73.74( 120),0,1,|,,0   3  | ,77.18,100 |   76.32,113 |   74.96
 118;,William & Mary,=  76.20 ,18,13,72.04( 168),0,1,|,,0   2  | ,77,102 |   76.50,108 |   74.75
 119;,Wake Forest,=  75.75 ,13,19,78.95(  41),0,8,|,,2  10  | ,76.26,111 |   75.63,121 |   75.03
 120;,Eastern Washington,=  75.64 ,23,8,69.68( 262),0,0,|,,1   1  | ,74.86,129 |   74.51,134 |   77.53
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
 121;,San Diego,=  75.50 ,14,16,75.18(  88),0,3,|,,1   6  | ,76,115 |   76.49,109 |   73.51
 122;,Northeastern,=  75.35 ,23,11,71.20( 193),0,0,|,,0   0  | ,74.91,128 |   74.96,126 |   75.90
 123;,Louisiana-Lafayette,=  75.33 ,18,13,70.51( 222),0,0,|,,0   0  | ,75.78,117 |   75.48,122 |   74.37
 124;,Evansville,=  75.24 ,19,12,72.31( 160),1,3,|,,1   3  | ,74.55,132 |   74.53,133 |   76.46
 125;,Hofstra,=  75.17 ,20,14,69.27( 283),0,0,|,,0   1  | ,76.14,113 |   77.11,98 |   71.73
 126;,DePaul,=  75.13 ,12,20,78.97(  40),1,7,|,,3  10  | ,76.65,105 |   74.40,136 |   74.27
 127;,Texas Tech,=  75.05 ,13,19,79.62(  24),1,12,|,,2  14  | ,75.47,122 |   74.42,135 |   75.05
 128;,Hawai'i,=  75.04 ,20,13,71.51( 179),0,1,|,,0   2  | ,75.62,118 |   74.67,129 |   74.58
 129;,Loyola-Chicago,=  74.98 ,18,13,73.23( 134),0,6,|,,0   6  | ,74.14,138 |   74.36,138 |   76.23
 130;,Auburn,=  74.94 ,14,20,79.30(  31),1,3,|,,5  10  | ,74,141 |   74.62,130 |   75.89
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
 131;,Vermont,=  74.91 ,18,13,68.89( 301),0,0,|,,0   0  | ,75.46,123 |   76.09,116 |   72.67
 132;,Albany-NY,=  74.87 ,24,8,68.43( 318),0,0,|,,0   1  | ,74.26,135 |   73.72,144 |   76.59
 133;,Utah State,=  74.87 ,17,13,72.80( 142),0,0,|,,0   2  | ,74.05,140 |   75.34,124 |   74.73
 134;,Pepperdine,=  74.84 ,17,14,73.83( 117),0,3,|,,2   4  | ,75.59,119 |   74.89,127 |   73.70
 135;,Stony Brook-NY,=  74.42 ,21,12,70.29( 229),0,0,|,,0   2  | ,74.74,130 |   74.27,140 |   73.93
 136;,Long Beach State,=  74.40 ,14,17,76.82(  75),1,3,|,,1   8  | ,73.85,142 |   74.39,137 |   74.56
 137;,Western Kentucky,=  74.33 ,18,12,72.34( 158),0,1,|,,1   1  | ,73.41,148 |   73.88,142 |   75.42
 138;,New Mexico,=  74.24 ,15,16,73.65( 122),0,0,|,,0   3  | ,74.1,139 |   75.01,125 |   73.06
 139;,Eastern Michigan,=  74.22 ,17,14,72.78( 143),0,1,|,,0   2  | ,73.56,145 |   74.60,131 |   74.01
 140;,Coastal Carolina,=  74.18 ,20,9,67.71( 333),0,0,|,,0   2  | ,73.76,144 |   73.56,147 |   74.99
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
 141;,Georgia Southern,=  74.10 ,19,9,69.44( 276),0,0,|,,0   0  | ,73.45,146 |   73.61,145 |   74.99
