11/16/2017,Florida A&M,59,Miami FL,90
11/16/2017,Southern Miss,47,Michigan,61
11/16/2017,Belmont,69,Middle Tennessee,63
11/16/2017,Marshall,83,Morehead St.,86
11/16/2017,Lincoln PA,60,Morgan St.,72
11/16/2017,Presbyterian,68,North Carolina St.,86
11/16/2017,Bethune Cookman,78,North Texas,90
11/16/2017,St. Francis IL,60,Northern Illinois,70
11/16/2017,Chicago St.,66,Notre Dame,105
11/16/2017,Clemson,81,Ohio,"76 N   Charleston, SC"
11/16/2017,Texas Southern,64,Ohio St.,82
11/16/2017,Oral Roberts,48,Oklahoma St.,91
11/16/2017,Virginia Tech,71,Saint Louis,"77 N   New York, NY"
11/16/2017,Illinois St.,69,South Carolina,"65 N   Conway, SC"
11/16/2017,San Jose St.,69,Southern Utah,81
11/16/2017,Nebraska,56,St. John's,79
11/16/2017,LeTourneau,68,Stephen F. Austin,91
11/16/2017,Old Dominion,65,Temple,"76 N   Charleston, SC"
11/16/2017,Boyce,48,Tennessee Tech,106
11/16/2017,Brewton Parker,71,Troy,106
11/16/2017,LeMoyne Owen,57,UAB,81
11/16/2017,Central Pennsylvania,62,UMBC,93
11/16/2017,Loyola Chicago,66,UMKC,56
11/16/2017,Missouri,59,Utah,77
11/16/2017,Boise St.,58,UTEP,"56 N   Conway, SC"
11/16/2017,Providence,77,Washington,"70 N   New York, NY"
11/16/2017,Tulsa,81,Western Michigan,"74 N   Conway, SC"
11/16/2017,Xavier,80,Wisconsin,70
11/17/2017,Alabama A&M,67,Alabama,104
11/17/2017,Yale,72,Albany,80
11/17/2017,Northern Arizona,62,Arizona St.,97
11/17/2017,Fresno St.,75,Arkansas,83
11/17/2017,Stony Brook,76,Ball St.,87
11/17/2017,Alcorn St.,61,Baylor,78
11/17/2017,Illinois St.,64,Boise St.,"82 N   Conway, SC"
11/17/2017,Vermont,65,Bradley,"64 N   Nassau, Bahamas"
11/17/2017,Coppin St.,56,Cleveland St.,80
11/17/2017,Quinnipiac,69,Colorado,"70 N   Lynchburg, VA"
11/17/2017,Ohio,65,Dayton,"79 N   Charleston, SC"
11/17/2017,Wesley,78,Delaware,93
11/17/2017,Southern,61,Duke,78
11/17/2017,Central Connecticut,79,East Carolina,68
11/17/2017,IUPUI,79,Eastern Illinois,80
11/17/2017,FIU,87,Elon,"95 N3  Milwaukee, WI"
