FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  81,Iowa,=  79.06 ,15,17,78.33(  43),,0,6,|,,4  13,| ,79.50   75 | ,78.43,84
  82,Western Kentucky,=  79.02 ,24,9,72.39( 160),,2,1,|,,2   2,| ,80.30   67 | ,77.68,91
  83,Houston,=  78.93 ,21,12,73.46( 125),,0,3,|,,0   4,| ,77.49   89 | ,80.31,70
  84,Vanderbilt,=  78.89 ,19,12,74.11( 107),,0,1,|,,1   5,| ,78.00   86 | ,79.61,77
  85,Northern Iowa,=  78.73 ,23,11,74.02( 111),,0,2,|,,0   2,| ,79.15   79 | ,78.13,86
  86,Duquesne,=  78.43 ,21,13,74.52(  95),,1,3,|,,1   3,| ,78.74   83 | ,77.92,89
  87,Wis.-Green Bay,=  78.24 ,22,10,72.62( 152),,0,0,|,,1   3,| ,77.26   91 | ,79.04,81
  88,Old Dominion,=  78.12 ,25,10,70.56( 217),,0,0,|,,0   0,| ,78.77   82 | ,77.3,95
  89,George Mason,=  78.02 ,22,11,72.78( 148),,0,0,|,,0   1,| ,77.87   87 | ,77.96,88
  90,Oregon State,=  77.98 ,17,18,78.38(  42),,0,6,|,,3   9,| ,79.50   74 | ,76.44,101
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  91,Vermont,=  77.43 ,24,9,69.03( 274),,0,1,|,,0   2,| ,76.49   98 | ,78.19,85
  92,Mississippi,=  77.29 ,16,15,76.57(  63),,0,2,|,,1   6,| ,76.83   93 | ,77.55,92
  93,Texas Tech,=  77.19 ,13,19,79.63(  17),,1,9,|,,3  13,| ,76.99   92 | ,77.17,96
  94,Northeastern,=  76.87 ,19,13,74.29( 102),,0,1,|,,0   2,| ,77.29   90 | ,76.25,103
  95,Alabama,=  76.80 ,16,14,74.99(  88),,0,1,|,,2   5,| ,76.56   96 | ,76.82,99
  96,Saint Joseph's-Pa,.      =  76.66 ,17,15,75.47(  78),,0,3,|,,0   3,| ,75.97  101 | ,77.14,97
  97,Wright State,=  76.56 ,20,13,73.34( 133),,0,1,|,,0   4,| ,75.93  102 | ,76.98,98
  98,Miami-Ohio,=  76.54 ,17,13,74.30( 101),,0,4,|,,0   4,| ,75.24  112 | ,77.7,90
  99,Virginia,=  76.38 ,10,18,79.72(  16),,1,7,|,,2  12,| ,75.85  104 | ,76.7,100
