  86,Lehigh,=  78.02 ,20,10,70.68( 226),,0,,2,|,,0   3,|   77.95   92 | ,77.98,85
  87,Harvard,=  77.96 ,19,10,73.02( 140),,1,,2,|,,1   4,|   78.85   79 | ,77.01,103
  88,Richmond,=  77.94 ,19,15,75.61( 105),,1,,4,|,,1   7,|   77.20  100 | ,78.63,83
  89,Massachusetts,=  77.87 ,21,12,76.69(  82),,0,,4,|,,2   7,|   78.28   87 | ,77.37,91
  90,Iona,=  77.73 ,20,14,73.97( 124),,0,,1,|,,0   2,|   78.29   86 | ,77.07,100
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
  91,Indiana State,=  77.63 ,17,15,78.22(  45),,3,,4,|,,4   7,|   77.97   91 | ,77.19,94
  92,St. John's,=  77.63 ,17,16,78.53(  34),,0,,6,|,,3   9,|   78.12   90 | ,77.04,101
  93,Texas,=  77.60 ,16,17,77.72(  56),,1,,5,|,,3  12,|   77.51   97 | ,77.58,89
  94,Air Force,=  77.55 ,16,14,77.91(  50),,1,,3,|,,3   9,|   78.85   80 | ,76.25,111
  95,New Mexico State,=  77.51 ,23,11,73.06( 139),,0,,3,|,,0   3,|   77.87   93 | ,77.04,102
  96,LSU,=  77.46 ,19,12,75.42( 107),,0,,3,|,,1   6,|   77.71   95 | ,77.09,98
  97,Georgia Tech,=  77.37 ,16,15,76.14(  96),,2,,2,|,,3   8,|   76.86  103 | ,77.79,87
  98,Texas A&M,=  77.33 ,18,15,76.16(  94),,0,,2,|,,3   5,|   77.20   99 | ,77.34,92
  99,Washington State,=  77.12 ,13,19,76.76(  77),,0,,6,|,,1   8,|   76.39  114 | ,77.78,88
 100,Southern Californ,ia     =  77.08 ,14,18,79.64(  16),,1,,5,|,,2   9,|   76.75  107 | ,77.31,93
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 101,South Dakota Stat,e      =  77.07 ,22,10,70.48( 235),,1,,2,|,,1   3,|   77.53   96 | ,76.51,109
 102,Wyoming,=  76.96 ,18,14,76.71(  81),,0,,3,|,,2   8,|   77.09  101 | ,76.73,107
 103,Rutgers,=  76.92 ,15,16,78.46(  35),,1,,5,|,,1  11,|   76.63  109 | ,77.11,96
 104,Oregon State,=  76.85 ,14,18,76.72(  80),,0,,4,|,,1   7,|   76.48  112 | ,77.13,95
 105,Princeton,=  76.77 ,16,11,71.96( 169),,0,,1,|,,0   1,|   76.37  117 | ,77.08,99
 106,Boston College,=  76.77 ,16,17,77.77(  55),,0,,5,|,,1  10,|   76.59  111 | ,76.84,106
 107,Canisius,=  76.73 ,20,14,73.13( 137),,0,,1,|,,1   2,|   77.22   98 | ,76.15,113
 108,Vanderbilt,=  76.61 ,16,17,76.89(  76),,0,,2,|,,1   9,|   76.21  120 | ,76.9,105
 109,Charlotte,=  76.50 ,21,12,75.21( 110),,0,,4,|,,2   6,|   77.86   94 | ,75.13,129
 110,East Carolina,=  76.50 ,19,12,73.21( 135),,0,,0,|,,0   3,|   76.67  108 | ,76.22,112
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 111,UTEP,=  76.44 ,18,14,74.24( 121),,1,,1,|,,1   4,|   76.45  113 | ,76.32,110
 112,Florida State,=  76.37 ,18,16,78.35(  40),,0,,5,|,,2  10,|   76.60  110 | ,76.04,115
 113,Seton Hall,=  76.34 ,15,18,77.90(  51),,0,,8,|,,0  11,|   75.62  127 | ,77,104
 114,Eastern Kentucky,=  76.33 ,23,10,70.24( 248),,0,,0,|,,0   3,|   76.80  105 | ,75.77,121
 115,Georgia,=  76.31 ,15,17,76.74(  79),,0,,3,|,,1   6,|   76.38  115 | ,76.13,114
 116,Utah,=  76.22 ,13,18,78.33(  41),,1,,4,|,,2   6,|   76.38  116 | ,75.95,117
 117,Mercer,=  76.17 ,22,12,70.35( 243),,0,,1,|,,0   1,|   77.03  102 | ,75.24,125
 118,Loyola-Maryland,=  76.12 ,23,12,72.35( 163),,0,,0,|,,0   1,|   76.86  104 | ,75.31,124
 119,Clemson,=  76.11 ,13,18,76.38(  87),,0,,5,|,,1   9,|   75.08  135 | ,77.1,97
 120,George Washington,=  76.09 ,13,17,76.62(  83),,0,,2,|,,0   8,|   75.55  129 | ,76.55,108
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 121,Utah State,=  76.06 ,20,10,71.29( 195),,0,,1,|,,0   1,|   76.08  121 | ,75.94,118
 122,St. Bonaventure,=  75.98 ,14,15,75.81( 103),,0,,2,|,,1   6,|   75.97  122 | ,75.88,120
 123,Fresno State,=  75.68 ,9,19,79.17(  20),,0,,2,|,,2   9,|   75.87  123 | ,75.39,123
 124,West Virginia,=  75.65 ,13,19,78.14(  46),,0,,6,|,,0  12,|   75.17  134 | ,76.04,116
 125,Northwestern,=  75.64 ,13,19,79.64(  15),,1,,8,|,,3  13,|   75.28  132 | ,75.89,119
 126,Drake,=  75.56 ,14,17,77.17(  71),,1,,6,|,,1   6,|   75.81  125 | ,75.21,128
 127,Murray State,=  75.53 ,19,10,70.78( 225),,0,,0,|,,1   2,|   76.28  119 | ,74.69,134
 128,Central Florida(U,CF)    =  75.50 ,18,11,72.93( 145),,0,,2,|,,1   5,|   75.67  126 | ,75.23,126
 129,Nebraska,=  75.47 ,15,18,80.60(   8),,1,1,2,|,,2  15,|   75.87  124 | ,74.97,130
 130,George Mason,=  75.43 ,22,16,72.85( 150),,0,,1,|,,1   1,|   75.53  130 | ,75.22,127
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
