 150,Saint Louis,=  73.25 ,11,19,75.58(  84),,0,1,|,,0   5,| ,71.46  181 | ,74.72,123
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 151,NC Asheville,=  73.23 ,17,14,70.84( 215),,0,4,|,,0   4,| ,73.33  151 | ,72.78,155
 152,George Washington,=  73.22 ,17,14,72.65( 157),,0,0,|,,0   5,| ,74.56  130 | ,71.54,173
 153,American Universi,ty     =  73.19 ,22,9,67.92( 312),,0,3,|,,0   4,| ,75.62  122 | ,70.47,189
 154,New Mexico State,=  73.12 ,14,17,74.15( 120),,0,1,|,,0   3,| ,72.03  167 | ,73.85,138
 155,Ball State,=  73.12 ,18,12,70.05( 246),,0,1,|,,0   2,| ,73.35  150 | ,72.53,159
 156,Northern Arizona,=  73.10 ,17,13,69.79( 254),,0,1,|,,0   1,| ,71.38  182 | ,74.49,125
 157,Wis.-Green Bay,=  72.93 ,13,18,75.47(  87),,0,5,|,,0   5,| ,72.91  158 | ,72.59,157
 158,UC Santa Barbara,=  72.91 ,16,14,72.00( 176),,0,2,|,,1   2,| ,71.83  172 | ,73.63,142
 159,Idaho,=  72.79 ,17,14,71.76( 181),,0,0,|,,1   1,| ,72.39  164 | ,72.84,153
 160,Florida Atlantic,=  72.77 ,19,11,70.63( 228),,0,1,|,,0   2,| ,74.52  132 | ,70.69,182
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 161,SMU,=  72.71 ,17,15,71.01( 210),,0,0,|,,0   0,| ,72.59  161 | ,72.47,161
 162,Hawaii,=  72.67 ,18,13,70.74( 220),,0,1,|,,0   4,| ,72.64  160 | ,72.34,162
 163,La Salle,=  72.58 ,15,18,74.17( 117),,0,0,|,,0   7,| ,73.27  155 | ,71.53,174
 164,Miami-Ohio,=  72.47 ,15,17,75.46(  88),,0,5,|,,1   6,| ,74.34  136 | ,70.25,192
 165,Western Michigan,=  72.38 ,20,13,69.82( 253),,0,1,|,,0   3,| ,72.56  163 | ,71.84,167
 166,Delaware,=  72.26 ,14,17,74.77( 101),,0,0,|,,1   6,| ,74.17  139 | ,70,195
 167,Massachusetts,=  72.25 ,14,15,73.65( 134),,0,0,|,,0   3,| ,73.38  149 | ,70.76,181
 168,Pacific,=  72.19 ,14,15,71.72( 185),,0,0,|,,0   2,| ,70.31  194 | ,73.7,141
 169,Boston University,=  72.13 ,21,14,69.42( 267),,0,2,|,,0   3,| ,72.90  159 | ,71,177
 170,Central Connectic,ut St. =  72.07 ,19,12,68.11( 307),,0,0,|,,0   1,| ,72.02  168 | ,71.77,169
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
